sequence,locale,year_month,between_lease_and_lease_deposit_ratio,lease_to_sale_ratio,monthly_rent_rate_of_return,average_lease_on_deposit_price,average_lease_on_deposit_price_per_unit,midian_lease_on_deposit_price,midian_lease_on_deposit_price_per_unit,average_monthly_rent_deposit,average_monthly_rent_price,midian_average_monthly_rent_deposit,midian_average_monthly_rent_price,average_sale_price,average_price_per_unit,midian_average_sale_price,midian_average_price_per_unit
1,nationwide,2020-07,7.95,83.54,4.75,163525,4370,156386,4266,13107,661,10705,634,203454,5272,190155,4997
2,metropolitan,2020-07,7.46,84.31,4.61,175996,4797,167524,4682,13656,698,11247,668,217040,5751,202398,5434
3,province,2020-07,9.96,80.33,5.35,111980,2603,110353,2545,10837,507,8466,492,147304,3295,139555,3191
4,seoul,2020-07,7.1,82.8,4.33,199524,6033,190788,6025,15250,777,12876,744,251315,7342,235222,7064
5,seoul-downtown,2020-07,6.13,79.55,4.18,235665,6405,223768,6221,13906,946,13701,919,310153,8155,307248,7901
6,seoul-northeastern,2020-07,8,82.64,4.95,136655,4778,135819,4462,11135,612,11519,608,166160,5751,162059,5416
7,seoul-northwestern,2020-07,6.73,83.75,4.46,187934,6434,180747,6370,11923,768,11474,710,233877,7629,207423,7353
8,seoul-southwestern,2020-07,8.01,85.62,4.33,189461,5827,182424,6015,18688,695,13675,670,233015,6841,216063,6744
9,seoul-southeastern,2020-07,5.89,79.71,3.99,238402,6637,223680,6606,14693,921,12859,869,307776,8424,287112,7919
10,busan,2020-07,10.88,79.26,5.23,119095,2713,117286,2634,12155,533,9058,511,160715,3494,150766,3371
11,daegu,2020-07,8.35,80.93,4.96,108622,2864,106770,2834,8641,493,7107,486,134276,3537,128703,3477
12,incheon,2020-07,9.1,85.86,5.11,126152,2687,124394,2483,11520,542,11199,541,147047,3112,142783,2886
13,gwangju,2020-07,7.48,83.24,6.25,78848,1942,79245,1911,7020,414,6367,415,96035,2337,92105,2211
14,daejeon,2020-07,9.94,84.83,6.88,89552,1908,86096,1839,9211,459,8829,462,109427,2253,103369,2159
15,ulsan,2020-07,7.82,77.55,4.15,120660,2525,120989,2591,9718,467,7983,464,157671,3250,160227,3248
16,sejong,2020-07,4.75,90.88,5.45,87449,3252,87063,3256,4198,413,4198,409,96372,3581,94656,3587
17,gyeonggi,2020-07,7.31,85.55,4.76,165818,4087,155330,3879,12537,659,9364,624,201307,4809,184764,4416
18,nationwide,2020-08,7.93,83.62,4.75,163768,4376,156762,4273,13101,661,10705,635,203677,5275,190471,5001
19,metropolitan,2020-08,7.44,84.4,4.61,176294,4805,167927,4690,13649,698,11247,670,217289,5755,202578,5439
20,province,2020-08,9.97,80.43,5.35,111998,2603,110617,2547,10837,507,8466,492,147416,3292,140430,3190
21,seoul,2020-08,7.09,82.86,4.33,199806,6041,191024,6034,15255,778,12876,744,251560,7347,235548,7075
22,seoul-downtown,2020-08,6.13,79.6,4.18,236063,6414,223807,6222,13906,946,13701,919,310413,8162,307313,7901
23,seoul-northeastern,2020-08,7.99,82.73,4.95,136808,4783,135819,4492,11135,612,11519,608,166187,5749,161870,5428
24,seoul-northwestern,2020-08,6.73,83.88,4.46,188250,6444,181578,6383,11923,769,11474,710,233941,7627,207490,7355
25,seoul-southwestern,2020-08,7.99,85.71,4.33,189771,5838,182753,6025,18683,695,13675,670,233303,6847,216915,6747
26,seoul-southeastern,2020-08,5.89,79.69,3.99,238655,6644,223699,6607,14715,921,12859,869,308153,8435,287196,7949
27,busan,2020-08,10.88,79.36,5.23,119094,2712,117658,2635,12155,533,9058,511,160919,3491,152011,3372
28,daegu,2020-08,8.35,81,4.96,108637,2864,106770,2834,8641,493,7107,485,134188,3535,129042,3467
29,incheon,2020-08,9.1,85.93,5.11,126252,2688,124394,2482,11520,542,11199,541,146982,3110,142783,2884
30,gwangju,2020-08,7.44,83.23,6.25,78823,1942,79245,1911,6997,414,6367,415,96011,2336,92105,2205
31,daejeon,2020-08,9.94,84.99,6.9,89656,1909,86358,1840,9201,459,8829,462,109446,2251,103703,2158
32,ulsan,2020-08,7.91,77.75,4.16,120684,2524,120989,2614,9751,467,7983,464,157330,3241,160227,3248
33,sejong,2020-08,4.72,90.91,5.42,87878,3271,87063,3256,4198,413,4198,409,96929,3599,94656,3587
34,gyeonggi,2020-08,7.28,85.66,4.76,166204,4096,156067,3888,12513,660,9364,628,201670,4813,184837,4417
35,nationwide,2020-09,7.92,83.78,4.76,164087,4383,156754,4280,13103,661,10705,635,203788,5275,190652,5003
36,metropolitan,2020-09,7.43,84.56,4.61,176681,4814,167898,4699,13652,699,11247,670,217452,5755,202822,5444
37,province,2020-09,9.97,80.55,5.36,112035,2603,110698,2547,10837,507,8466,492,147313,3288,140350,3182
38,seoul,2020-09,7.07,82.99,4.33,200093,6051,191097,6051,15262,778,12876,744,251667,7348,235658,7069
39,seoul-downtown,2020-09,6.12,79.71,4.18,236364,6423,224161,6230,13906,946,13701,919,310497,8164,307446,7901
40,seoul-northeastern,2020-09,7.96,82.95,4.94,137311,4802,135819,4492,11135,612,11519,608,166371,5756,161870,5428
41,seoul-northwestern,2020-09,6.72,83.99,4.47,188354,6446,181578,6459,11923,769,11474,710,233888,7623,207490,7356
42,seoul-southwestern,2020-09,7.96,85.88,4.33,190186,5852,182800,6030,18675,696,13675,670,233507,6849,216978,6752
43,seoul-southeastern,2020-09,5.89,79.72,3.99,238740,6646,223782,6624,14752,921,12859,869,308169,8433,287471,7921
44,busan,2020-09,10.89,79.51,5.25,119115,2712,117780,2635,12155,533,9058,511,160802,3485,152011,3358
45,daegu,2020-09,8.35,81.09,4.96,108713,2865,106770,2835,8641,493,7107,485,134075,3532,129381,3468
46,incheon,2020-09,9.1,86.12,5.12,126454,2692,123935,2485,11524,542,11199,541,146936,3106,143178,2884
47,gwangju,2020-09,7.44,83.21,6.24,78761,1940,79245,1911,6993,413,6367,407,95940,2334,91381,2205
48,daejeon,2020-09,9.94,85.1,6.9,89696,1910,86358,1840,9201,459,8829,462,109387,2250,103400,2156
49,ulsan,2020-09,7.9,78,4.17,120847,2527,120989,2615,9751,467,7983,464,157068,3236,159618,3248
50,sejong,2020-09,4.7,90.9,5.39,88206,3284,87091,3257,4198,413,4198,409,97500,3616,94713,3628
51,gyeonggi,2020-09,7.26,85.85,4.77,166771,4107,156067,3889,12511,661,9364,628,201970,4815,185185,4435
52,nationwide,2020-10,7.91,83.89,4.76,164429,4392,156901,4292,13126,662,10705,636,204034,5278,190653,5002
53,metropolitan,2020-10,7.4,84.68,4.61,177074,4824,168074,4712,13637,700,11247,671,217744,5760,202826,5443
54,province,2020-10,10.06,80.62,5.36,112164,2606,110721,2554,11018,506,8466,490,147369,3288,140342,3177
55,seoul,2020-10,7.06,83.1,4.33,200441,6061,191395,6062,15265,778,12876,744,251843,7352,235777,7070
56,seoul-downtown,2020-10,6.11,79.78,4.18,236623,6430,224678,6234,13906,945,13701,912,310689,8168,307512,7906
57,seoul-northeastern,2020-10,7.94,83.1,4.94,137674,4813,135924,4524,11136,612,11519,608,166497,5760,161916,5422
58,seoul-northwestern,2020-10,6.71,84.08,4.47,188529,6452,181578,6486,11923,769,11474,710,233902,7624,207557,7356
59,seoul-southwestern,2020-10,7.94,86.07,4.33,190705,5868,183423,6037,18683,696,13675,670,233659,6851,217040,6756
60,seoul-southeastern,2020-10,5.89,79.74,3.99,238958,6651,223801,6624,14752,921,12859,871,308475,8439,287747,7921
61,busan,2020-10,11.04,79.52,5.25,119155,2712,117780,2645,12433,531,9058,508,160883,3485,151944,3351
62,daegu,2020-10,8.33,81.27,4.96,109084,2875,106770,2835,8640,493,7107,486,134218,3534,130108,3475
63,incheon,2020-10,9.09,86.22,5.12,126620,2695,124075,2493,11528,541,11199,541,147040,3107,143483,2873
64,gwangju,2020-10,7.44,83.15,6.24,78749,1939,79245,1911,6993,413,6367,407,95973,2335,91381,2205
65,daejeon,2020-10,9.93,85.2,6.91,89726,1911,86358,1840,9201,459,8829,462,109363,2249,103283,2147
66,ulsan,2020-10,7.85,78.52,4.18,121750,2543,121354,2624,9751,468,7983,467,156865,3235,159099,3249
67,sejong,2020-10,4.69,91.04,5.39,88378,3291,87091,3257,4198,413,4198,409,97543,3618,94713,3633
68,gyeonggi,2020-10,7.2,85.98,4.77,167296,4118,156115,3907,12469,663,9364,631,202463,4822,184950,4436
69,nationwide,2020-11,7.9,84.08,4.76,164908,4400,156979,4295,13129,662,10705,636,204171,5276,191006,5009
70,metropolitan,2020-11,7.38,84.87,4.62,177590,4834,168110,4715,13637,700,11247,671,217846,5758,203184,5454
71,province,2020-11,10.06,80.78,5.37,112494,2607,110976,2558,11025,506,8466,490,147653,3285,140673,3167
72,seoul,2020-11,7.04,83.28,4.33,200867,6072,191757,6058,15259,778,12876,744,251812,7349,235796,7076
73,seoul-downtown,2020-11,6.11,79.85,4.18,236864,6437,225132,6249,13906,945,13701,912,310760,8169,307512,7891
74,seoul-northeastern,2020-11,7.93,83.25,4.94,138043,4826,136339,4554,11138,612,11519,608,166668,5766,161500,5423
75,seoul-northwestern,2020-11,6.7,84.27,4.47,188732,6461,181578,6487,11923,769,11474,710,233757,7615,208021,7356
76,seoul-southwestern,2020-11,7.92,86.25,4.33,191241,5881,183888,6004,18667,696,13675,670,233755,6849,217088,6783
77,seoul-southeastern,2020-11,5.88,79.96,4,239430,6661,224134,6635,14752,921,12859,871,308188,8430,287747,7909
78,busan,2020-11,11.04,79.6,5.25,119451,2711,117969,2650,12433,531,9058,508,161304,3482,152567,3337
79,daegu,2020-11,8.32,81.75,4.98,109485,2885,107158,2836,8641,494,7107,486,133989,3524,129529,3466
80,incheon,2020-11,9.08,86.61,5.13,127080,2704,124521,2515,11531,542,11199,541,147001,3102,144171,2871
81,gwangju,2020-11,7.46,83.2,6.24,78825,1941,79413,1913,7012,413,6367,407,96002,2336,91437,2206
82,daejeon,2020-11,9.91,85.36,6.92,90242,1918,86931,1848,9201,459,8829,464,109983,2255,103263,2141
83,ulsan,2020-11,7.95,79.04,4.2,122425,2552,121815,2631,9849,469,7983,467,156559,3227,158875,3250
84,sejong,2020-11,4.68,91.18,5.39,88506,3297,87091,3257,4198,413,4198,409,97543,3618,94713,3633
85,gyeonggi,2020-11,7.18,86.13,4.78,167935,4129,155629,3910,12476,664,9364,631,202768,4824,185590,4457
86,nationwide,2020-12,7.89,84.26,4.77,165411,4412,157374,4299,13136,663,10710,636,204507,5279,190889,5011
87,metropolitan,2020-12,7.36,85.07,4.62,178154,4848,168546,4722,13641,701,11247,671,218157,5762,203103,5461
88,province,2020-12,10.07,80.93,5.37,112747,2611,111201,2554,11047,506,8490,491,148088,3285,140410,3154
89,seoul,2020-12,7.03,83.44,4.33,201313,6084,192475,6070,15274,778,12876,743,251955,7350,235852,7085
90,seoul-downtown,2020-12,6.1,79.96,4.18,237218,6446,225801,6252,13906,945,13701,912,310778,8169,306110,7891
91,seoul-northeastern,2020-12,7.91,83.39,4.94,138367,4836,136540,4560,11147,612,11519,608,166813,5769,161545,5424
92,seoul-northwestern,2020-12,6.69,84.48,4.48,189040,6475,181578,6519,11931,769,11474,710,233774,7614,207764,7358
93,seoul-southwestern,2020-12,7.91,86.48,4.33,191926,5899,185427,6007,18700,696,13675,667,234046,6853,217457,6807
94,seoul-southeastern,2020-12,5.87,80.04,4,239711,6667,224356,6654,14752,922,12859,872,308230,8428,288023,7909
95,busan,2020-12,11.03,79.71,5.25,119665,2713,118092,2641,12433,531,9058,508,161911,3483,152233,3322
96,daegu,2020-12,8.29,81.91,4.98,109898,2896,107968,2839,8641,495,7107,490,134246,3528,129343,3455
97,incheon,2020-12,9.06,86.89,5.14,127506,2710,124629,2522,11534,542,11199,543,147009,3097,144108,2877
98,gwangju,2020-12,7.53,83.33,6.24,78918,1944,79413,1914,7048,413,6367,407,96022,2335,91437,2206
99,daejeon,2020-12,9.86,85.57,6.93,90761,1925,87122,1853,9258,460,9116,467,110512,2258,103057,2142
100,ulsan,2020-12,8.12,79.38,4.2,122654,2553,122468,2627,10073,468,7983,468,156124,3214,158739,3223
101,sejong,2020-12,4.68,91.63,5.41,88706,3303,87119,3257,4198,413,4198,409,97200,3606,94713,3611
102,gyeonggi,2020-12,7.15,86.34,4.78,168683,4146,155850,3911,12468,666,9364,632,203380,4833,185343,4461
103,nationwide,2021-01,7.86,84.44,4.77,165916,4424,157571,4308,13148,664,10707,637,204880,5283,190848,5012
104,metropolitan,2021-01,7.34,85.24,4.62,178730,4862,168664,4732,13662,702,11247,672,218613,5767,203147,5460
105,province,2021-01,10.04,81.11,5.38,112955,2615,111725,2555,11025,506,8475,492,148125,3284,140018,3161
106,seoul,2021-01,7.02,83.6,4.33,201796,6100,192534,6088,15310,779,12876,743,252213,7354,236361,7081
107,seoul-downtown,2021-01,6.12,80.01,4.17,237618,6458,225901,6270,13952,945,13701,912,311209,8180,306236,7884
108,seoul-northeastern,2021-01,7.87,83.57,4.93,138858,4854,137029,4560,11147,613,11519,609,167086,5777,163240,5425
109,seoul-northwestern,2021-01,6.67,84.69,4.49,189457,6492,181657,6540,11931,771,11474,710,233733,7611,207791,7312
110,seoul-southwestern,2021-01,7.88,86.72,4.33,192619,5920,185349,6010,18788,696,13675,668,234301,6857,217691,6812
111,seoul-southeastern,2021-01,5.87,80.08,4,239962,6674,224356,6698,14752,922,12859,872,308567,8432,288657,7911
112,busan,2021-01,11.02,79.86,5.26,119827,2715,118805,2642,12433,531,9058,510,161964,3481,151721,3337
113,daegu,2021-01,8.24,82.26,4.99,110169,2905,108356,2841,8629,495,7107,493,134205,3523,129189,3438
114,incheon,2021-01,9.1,87.04,5.14,127665,2716,124845,2533,11617,541,11199,542,147044,3097,144484,2878
115,gwangju,2021-01,7.44,83.17,6.23,78954,1947,79245,1912,6985,414,6086,406,96030,2340,91099,2196
116,daejeon,2021-01,9.92,85.97,6.95,91254,1934,87338,1855,9296,461,9116,468,110833,2260,102895,2144
117,ulsan,2021-01,7.82,79.73,4.22,123036,2560,122648,2627,9774,470,8074,468,155892,3209,158807,3223
118,sejong,2021-01,4.67,92.08,5.42,88949,3310,87148,3261,4198,414,4198,410,96914,3595,94298,3584
119,gyeonggi,2021-01,7.11,86.53,4.78,169513,4162,156002,3912,12448,667,9364,633,204211,4842,184729,4464
120,nationwide,2021-02,7.89,84.56,4.77,166409,4435,158150,4313,13203,664,10707,637,205503,5290,191125,5017
121,metropolitan,2021-02,7.37,85.36,4.62,179294,4875,169296,4738,13729,703,11247,672,219302,5775,203393,5467
122,province,2021-02,10.03,81.21,5.39,113155,2619,112084,2558,11032,507,8475,493,148470,3287,140418,3158
123,seoul,2021-02,7.02,83.7,4.33,202234,6113,193679,6101,15362,779,12876,744,252625,7360,236615,7095
124,seoul-downtown,2021-02,6.11,80,4.17,237769,6463,226356,6270,13952,945,13701,913,311550,8188,306337,7887
125,seoul-northeastern,2021-02,7.89,83.72,4.92,139290,4870,137258,4594,11180,613,11519,609,167330,5786,163188,5429
126,seoul-northwestern,2021-02,6.68,85.05,4.51,189701,6499,181657,6515,11936,771,11474,710,233498,7587,207898,7314
127,seoul-southwestern,2021-02,7.9,86.82,4.32,193146,5936,185894,6031,18913,696,13675,668,234825,6866,218266,6818
128,seoul-southeastern,2021-02,5.85,80.09,4,240471,6686,227552,6715,14752,924,12859,873,309237,8447,288752,7951
129,busan,2021-02,11.02,79.91,5.26,119995,2718,119257,2645,12433,531,9058,510,162446,3486,152514,3336
130,daegu,2021-02,8.22,82.63,5.01,110723,2920,108575,2848,8629,497,7107,495,134308,3525,128042,3425
131,incheon,2021-02,9.37,87.33,5.15,128119,2725,125429,2527,11932,541,11199,541,147045,3094,144692,2871
132,gwangju,2021-02,7.46,83.23,6.23,78956,1948,79676,1920,6996,414,6058,406,95989,2340,91531,2198
133,daejeon,2021-02,9.91,86.08,6.97,91342,1935,87338,1855,9296,461,9116,468,111181,2263,102688,2145
134,ulsan,2021-02,7.87,79.96,4.24,123336,2565,122806,2633,9860,471,8096,472,155797,3206,158694,3215
135,sejong,2021-02,4.66,92.27,5.44,89163,3317,87148,3273,4198,414,4198,410,96914,3595,94298,3584
136,gyeonggi,2021-02,7.09,86.62,4.79,170261,4176,156053,3914,12447,669,9364,634,205462,4855,184980,4467
137,nationwide,2021-03,7.92,84.58,4.77,166749,4442,158447,4316,13282,665,10711,637,206161,5299,191108,5018
138,metropolitan,2021-03,7.41,85.36,4.62,179670,4883,169614,4741,13819,703,11247,672,220073,5786,203396,5471
139,province,2021-03,10.07,81.33,5.4,113349,2621,112292,2560,11064,507,8499,493,148664,3285,140323,3148
140,seoul,2021-03,7.01,83.77,4.33,202519,6121,193883,6104,15381,779,12876,744,252853,7364,236762,7105
141,seoul-downtown,2021-03,6.11,80.05,4.17,237970,6469,226801,6280,13952,945,13701,913,311684,8191,306337,7889
142,seoul-northeastern,2021-03,7.88,83.83,4.92,139578,4880,137258,4594,11180,613,11519,609,167434,5788,163234,5429
143,seoul-northwestern,2021-03,6.67,85.04,4.5,189906,6507,181684,6516,11944,771,11474,710,233681,7595,208362,7329
144,seoul-southwestern,2021-03,7.89,86.94,4.32,193584,5947,186353,6034,18958,697,13675,668,235156,6870,218486,6837
145,seoul-southeastern,2021-03,5.86,80.1,4,240612,6691,227515,6715,14760,925,12859,874,309442,8451,288752,7955
146,busan,2021-03,11.02,80,5.27,120120,2718,119427,2645,12439,531,9058,510,162681,3483,152209,3317
147,daegu,2021-03,8.19,82.88,5.03,111116,2930,108848,2853,8629,499,7107,495,134416,3527,128654,3425
148,incheon,2021-03,9.51,87.26,5.16,128280,2727,125460,2530,12338,540,11199,541,147396,3099,145366,2866
149,gwangju,2021-03,7.44,83.25,6.23,78982,1949,79626,1920,7001,414,6058,406,96000,2341,91480,2197
150,daejeon,2021-03,10.41,86.16,6.96,91692,1939,87683,1851,9619,459,9402,465,111494,2266,102917,2141
151,ulsan,2021-03,7.83,80.32,4.26,123886,2575,123460,2641,9860,473,8096,475,155765,3203,159054,3240
152,sejong,2021-03,4.65,92.32,5.43,89335,3323,87148,3305,4198,414,4198,410,97085,3600,94298,3612
153,gyeonggi,2021-03,7.13,86.57,4.78,170819,4186,156603,3918,12510,670,9364,634,207011,4876,184581,4467
154,nationwide,2021-04,7.86,84.61,4.77,167031,4448,158599,4320,13267,665,10712,639,206548,5304,191236,5011
155,metropolitan,2021-04,7.36,85.38,4.62,179982,4890,169771,4745,13870,703,11247,675,220494,5792,203539,5461
156,province,2021-04,9.91,81.39,5.39,113502,2623,112422,2562,10776,508,8499,493,148906,3286,140389,3150
157,seoul,2021-04,7.04,83.83,4.32,202731,6129,194038,6107,15639,778,12877,745,253064,7368,236932,7120
158,seoul-downtown,2021-04,6.1,80.1,4.17,238165,6475,227002,6280,13952,945,13701,913,311839,8195,306369,7893
159,seoul-northeastern,2021-04,7.86,83.95,4.92,139825,4889,137738,4594,11181,613,11526,609,167528,5791,163280,5445
160,seoul-northwestern,2021-04,6.68,85.04,4.5,189931,6508,181803,6401,11944,770,11474,711,233616,7592,208508,7376
161,seoul-southwestern,2021-04,7.97,87.05,4.32,193868,5956,186442,6081,19654,694,13675,669,235369,6871,218809,6839
162,seoul-southeastern,2021-04,5.85,80.11,4,240803,6699,227598,6717,14760,925,12859,878,309857,8461,288835,7973
163,busan,2021-04,10.77,80.03,5.26,120203,2718,119568,2648,11997,532,9058,510,162951,3484,152275,3318
164,daegu,2021-04,8.18,82.98,5.03,111340,2936,108613,2860,8629,499,7107,495,134533,3529,128249,3427
165,incheon,2021-04,9.28,87.08,5.16,128518,2728,125784,2527,11938,543,11199,543,147955,3107,145460,2859
166,gwangju,2021-04,7.43,83.26,6.22,79033,1951,79626,1920,7001,414,6058,406,96042,2342,91480,2197
167,daejeon,2021-04,10.41,86.19,6.95,92115,1943,87933,1856,9619,461,9402,467,112076,2271,103266,2148
168,ulsan,2021-04,7.81,80.66,4.27,124420,2581,124137,2624,9862,474,8096,477,155744,3196,159626,3240
169,sejong,2021-04,4.64,92.29,5.42,89421,3327,87148,3323,4198,414,4198,410,97257,3605,94298,3634
170,gyeonggi,2021-04,7.07,86.6,4.78,171274,4194,156705,3926,12477,671,9364,638,207631,4883,184710,4427
171,nationwide,2021-05,7.83,84.6,4.77,167264,4452,158777,4325,13257,665,10746,640,207040,5309,191322,5015
172,metropolitan,2021-05,7.34,85.37,4.62,180228,4894,169984,4748,13857,703,11290,676,221058,5798,203652,5466
173,province,2021-05,9.89,81.44,5.39,113685,2626,112459,2576,10773,508,8499,494,149104,3288,140358,3152
174,seoul,2021-05,7.04,83.92,4.33,202852,6130,194292,6105,15642,779,12877,745,253190,7364,236836,7133
175,seoul-downtown,2021-05,6.1,80.18,4.16,238542,6486,227710,6280,13952,944,13701,913,312135,8203,307291,7893
176,seoul-northeastern,2021-05,7.86,83.99,4.91,139982,4894,137692,4621,11182,613,11526,609,167631,5793,163234,5466
177,seoul-northwestern,2021-05,6.69,85.27,4.52,189703,6494,182001,6351,11944,771,11474,711,233088,7560,207625,7394
178,seoul-southwestern,2021-05,7.96,87.15,4.32,194045,5959,186899,6082,19662,694,13675,669,235598,6867,218429,6859
179,seoul-southeastern,2021-05,5.85,80.13,4,240905,6703,227598,6719,14760,925,12859,879,310102,8465,289123,7977
180,busan,2021-05,10.76,80.05,5.26,120357,2720,119516,2671,11993,532,9058,510,163203,3487,152275,3321
